roi,mics,label,R,G,B,A,side, coor.x, coor.y, coor.z
11101,1001,ctx_lh_G_and_S_frontomargin,23,220,60,0,,,,
11102,1002,ctx_lh_G_and_S_occipital_inf,23,60,180,0,,,,
11103,1003,ctx_lh_G_and_S_paracentral,63,100,60,0,,,,
11104,1004,ctx_lh_G_and_S_subcentral,63,20,220,0,,,,
11105,1005,ctx_lh_G_and_S_transv_frontopol,13,0,250,0,,,,
11106,1006,ctx_lh_G_and_S_cingul-Ant,26,60,0,0,,,,
11107,1007,ctx_lh_G_and_S_cingul-Mid-Ant,26,60,75,0,,,,
11108,1008,ctx_lh_G_and_S_cingul-Mid-Post,26,60,150,0,,,,
11109,1009,ctx_lh_G_cingul-Post-dorsal,25,60,250,0,,,,
11110,1010,ctx_lh_G_cingul-Post-ventral,60,25,25,0,,,,
11111,1011,ctx_lh_G_cuneus,180,20,20,0,,,,
11112,1012,ctx_lh_G_front_inf-Opercular,220,20,100,0,,,,
11113,1013,ctx_lh_G_front_inf-Orbital,140,60,60,0,,,,
11114,1014,ctx_lh_G_front_inf-Triangul,180,220,140,0,,,,
11115,1015,ctx_lh_G_front_middle,140,100,180,0,,,,
11116,1016,ctx_lh_G_front_sup,180,20,140,0,,,,
11117,1017,ctx_lh_G_Ins_lg_and_S_cent_ins,23,10,10,0,,,,
11118,1018,ctx_lh_G_insular_short,225,140,140,0,,,,
11119,1019,ctx_lh_G_occipital_middle,180,60,180,0,,,,
11120,1020,ctx_lh_G_occipital_sup,20,220,60,0,,,,
11121,1021,ctx_lh_G_oc-temp_lat-fusifor,60,20,140,0,,,,
11122,1022,ctx_lh_G_oc-temp_med-Lingual,220,180,140,0,,,,
11123,1023,ctx_lh_G_oc-temp_med-Parahip,65,100,20,0,,,,
11124,1024,ctx_lh_G_orbital,220,60,20,0,,,,
11125,1025,ctx_lh_G_pariet_inf-Angular,20,60,220,0,,,,
11126,1026,ctx_lh_G_pariet_inf-Supramar,100,100,60,0,,,,
11127,1027,ctx_lh_G_parietal_sup,220,180,220,0,,,,
11128,1028,ctx_lh_G_postcentral,20,180,140,0,,,,
11129,1029,ctx_lh_G_precentral,60,140,180,0,,,,
11130,1030,ctx_lh_G_precuneus,25,20,140,0,,,,
11131,1031,ctx_lh_G_rectus,20,60,100,0,,,,
11132,1032,ctx_lh_G_subcallosal,60,220,20,0,,,,
11133,1033,ctx_lh_G_temp_sup-G_T_transv,60,60,220,0,,,,
11134,1034,ctx_lh_G_temp_sup-Lateral,220,60,220,0,,,,
11135,1035,ctx_lh_G_temp_sup-Plan_polar,65,220,60,0,,,,
11136,1036,ctx_lh_G_temp_sup-Plan_tempo,25,140,20,0,,,,
11137,1037,ctx_lh_G_temporal_inf,220,220,100,0,,,,
11138,1038,ctx_lh_G_temporal_middle,180,60,60,0,,,,
11139,1039,ctx_lh_Lat_Fis-ant-Horizont,61,20,220,0,,,,
11140,1040,ctx_lh_Lat_Fis-ant-Vertical,61,20,60,0,,,,
11141,1041,ctx_lh_Lat_Fis-post,61,60,100,0,,,,
11142,1042,ctx_lh_Medial_wall,25,25,25,0,,,,
11143,1043,ctx_lh_Pole_occipital,140,20,60,0,,,,
11144,1044,ctx_lh_Pole_temporal,220,180,20,0,,,,
11145,1045,ctx_lh_S_calcarine,63,180,180,0,,,,
11146,1046,ctx_lh_S_central,221,20,10,0,,,,
11147,1047,ctx_lh_S_cingul-Marginalis,221,20,100,0,,,,
11148,1048,ctx_lh_S_circular_insula_ant,221,60,140,0,,,,
11149,1049,ctx_lh_S_circular_insula_inf,221,20,220,0,,,,
11150,1050,ctx_lh_S_circular_insula_sup,61,220,220,0,,,,
11151,1051,ctx_lh_S_collat_transv_ant,100,200,200,0,,,,
11152,1052,ctx_lh_S_collat_transv_post,10,200,200,0,,,,
11153,1053,ctx_lh_S_front_inf,221,220,20,0,,,,
11154,1054,ctx_lh_S_front_middle,141,20,100,0,,,,
11155,1055,ctx_lh_S_front_sup,61,220,100,0,,,,
11156,1056,ctx_lh_S_interm_prim-Jensen,141,60,20,0,,,,
11157,1057,ctx_lh_S_intrapariet_and_P_trans,143,20,220,0,,,,
11158,1058,ctx_lh_S_oc_middle_and_Lunatus,101,60,220,0,,,,
11159,1059,ctx_lh_S_oc_sup_and_transversal,21,20,140,0,,,,
11160,1060,ctx_lh_S_occipital_ant,61,20,180,0,,,,
11161,1061,ctx_lh_S_oc-temp_lat,221,140,20,0,,,,
11162,1062,ctx_lh_S_oc-temp_med_and_Lingual,141,100,220,0,,,,
11163,1063,ctx_lh_S_orbital_lateral,221,100,20,0,,,,
11164,1064,ctx_lh_S_orbital_med-olfact,181,200,20,0,,,,
11165,1065,ctx_lh_S_orbital-H_Shaped,101,20,20,0,,,,
11166,1066,ctx_lh_S_parieto_occipital,101,100,180,0,,,,
11167,1067,ctx_lh_S_pericallosal,181,220,20,0,,,,
11168,1068,ctx_lh_S_postcentral,21,140,200,0,,,,
11169,1069,ctx_lh_S_precentral-inf-part,21,20,240,0,,,,
11170,1070,ctx_lh_S_precentral-sup-part,21,20,200,0,,,,
11171,1071,ctx_lh_S_suborbital,21,20,60,0,,,,
11172,1072,ctx_lh_S_subparietal,101,60,60,0,,,,
11173,1073,ctx_lh_S_temporal_inf,21,180,180,0,,,,
11174,1074,ctx_lh_S_temporal_sup,223,220,60,0,,,,
11175,1075,ctx_lh_S_temporal_transverse,221,60,60,0,,,,
12101,2001,ctx_rh_G_and_S_frontomargin,23,220,60,0,,,,
12102,2002,ctx_rh_G_and_S_occipital_inf,23,60,180,0,,,,
12103,2003,ctx_rh_G_and_S_paracentral,63,100,60,0,,,,
12104,2004,ctx_rh_G_and_S_subcentral,63,20,220,0,,,,
12105,2005,ctx_rh_G_and_S_transv_frontopol,13,0,250,0,,,,
12106,2006,ctx_rh_G_and_S_cingul-Ant,26,60,0,0,,,,
12107,2007,ctx_rh_G_and_S_cingul-Mid-Ant,26,60,75,0,,,,
12108,2008,ctx_rh_G_and_S_cingul-Mid-Post,26,60,150,0,,,,
12109,2009,ctx_rh_G_cingul-Post-dorsal,25,60,250,0,,,,
12110,2010,ctx_rh_G_cingul-Post-ventral,60,25,25,0,,,,
12111,2011,ctx_rh_G_cuneus,180,20,20,0,,,,
12112,2012,ctx_rh_G_front_inf-Opercular,220,20,100,0,,,,
12113,2013,ctx_rh_G_front_inf-Orbital,140,60,60,0,,,,
12114,2014,ctx_rh_G_front_inf-Triangul,180,220,140,0,,,,
12115,2015,ctx_rh_G_front_middle,140,100,180,0,,,,
12116,2016,ctx_rh_G_front_sup,180,20,140,0,,,,
12117,2017,ctx_rh_G_Ins_lg_and_S_cent_ins,23,10,10,0,,,,
12118,2018,ctx_rh_G_insular_short,225,140,140,0,,,,
12119,2019,ctx_rh_G_occipital_middle,180,60,180,0,,,,
12120,2020,ctx_rh_G_occipital_sup,20,220,60,0,,,,
12121,2021,ctx_rh_G_oc-temp_lat-fusifor,60,20,140,0,,,,
12122,2022,ctx_rh_G_oc-temp_med-Lingual,220,180,140,0,,,,
12123,2023,ctx_rh_G_oc-temp_med-Parahip,65,100,20,0,,,,
12124,2024,ctx_rh_G_orbital,220,60,20,0,,,,
12125,2025,ctx_rh_G_pariet_inf-Angular,20,60,220,0,,,,
12126,2026,ctx_rh_G_pariet_inf-Supramar,100,100,60,0,,,,
12127,2027,ctx_rh_G_parietal_sup,220,180,220,0,,,,
12128,2028,ctx_rh_G_postcentral,20,180,140,0,,,,
12129,2029,ctx_rh_G_precentral,60,140,180,0,,,,
12130,2030,ctx_rh_G_precuneus,25,20,140,0,,,,
12131,2031,ctx_rh_G_rectus,20,60,100,0,,,,
12132,2032,ctx_rh_G_subcallosal,60,220,20,0,,,,
12133,2033,ctx_rh_G_temp_sup-G_T_transv,60,60,220,0,,,,
12134,2034,ctx_rh_G_temp_sup-Lateral,220,60,220,0,,,,
12135,2035,ctx_rh_G_temp_sup-Plan_polar,65,220,60,0,,,,
12136,2036,ctx_rh_G_temp_sup-Plan_tempo,25,140,20,0,,,,
12137,2037,ctx_rh_G_temporal_inf,220,220,100,0,,,,
12138,2038,ctx_rh_G_temporal_middle,180,60,60,0,,,,
12139,2039,ctx_rh_Lat_Fis-ant-Horizont,61,20,220,0,,,,
12140,2040,ctx_rh_Lat_Fis-ant-Vertical,61,20,60,0,,,,
12141,2041,ctx_rh_Lat_Fis-post,61,60,100,0,,,,
12142,2042,ctx_rh_Medial_wall,25,25,25,0,,,,
12143,2043,ctx_rh_Pole_occipital,140,20,60,0,,,,
12144,2044,ctx_rh_Pole_temporal,220,180,20,0,,,,
12145,2045,ctx_rh_S_calcarine,63,180,180,0,,,,
12146,2046,ctx_rh_S_central,221,20,10,0,,,,
12147,2047,ctx_rh_S_cingul-Marginalis,221,20,100,0,,,,
12148,2048,ctx_rh_S_circular_insula_ant,221,60,140,0,,,,
12149,2049,ctx_rh_S_circular_insula_inf,221,20,220,0,,,,
12150,2050,ctx_rh_S_circular_insula_sup,61,220,220,0,,,,
12151,2051,ctx_rh_S_collat_transv_ant,100,200,200,0,,,,
12152,2052,ctx_rh_S_collat_transv_post,10,200,200,0,,,,
12153,2053,ctx_rh_S_front_inf,221,220,20,0,,,,
12154,2054,ctx_rh_S_front_middle,141,20,100,0,,,,
12155,2055,ctx_rh_S_front_sup,61,220,100,0,,,,
12156,2056,ctx_rh_S_interm_prim-Jensen,141,60,20,0,,,,
12157,2057,ctx_rh_S_intrapariet_and_P_trans,143,20,220,0,,,,
12158,2058,ctx_rh_S_oc_middle_and_Lunatus,101,60,220,0,,,,
12159,2059,ctx_rh_S_oc_sup_and_transversal,21,20,140,0,,,,
12160,2060,ctx_rh_S_occipital_ant,61,20,180,0,,,,
12161,2061,ctx_rh_S_oc-temp_lat,221,140,20,0,,,,
12162,2062,ctx_rh_S_oc-temp_med_and_Lingual,141,100,220,0,,,,
12163,2063,ctx_rh_S_orbital_lateral,221,100,20,0,,,,
12164,2064,ctx_rh_S_orbital_med-olfact,181,200,20,0,,,,
12165,2065,ctx_rh_S_orbital-H_Shaped,101,20,20,0,,,,
12166,2066,ctx_rh_S_parieto_occipital,101,100,180,0,,,,
12167,2067,ctx_rh_S_pericallosal,181,220,20,0,,,,
12168,2068,ctx_rh_S_postcentral,21,140,200,0,,,,
12169,2069,ctx_rh_S_precentral-inf-part,21,20,240,0,,,,
12170,2070,ctx_rh_S_precentral-sup-part,21,20,200,0,,,,
12171,2071,ctx_rh_S_suborbital,21,20,60,0,,,,
12172,2072,ctx_rh_S_subparietal,101,60,60,0,,,,
12173,2073,ctx_rh_S_temporal_inf,21,180,180,0,,,,
12174,2074,ctx_rh_S_temporal_sup,223,220,60,0,,,,
12175,2075,ctx_rh_S_temporal_transverse,221,60,60,0,,,,
