roi,mics,label,R,G,B,A,side, coor.x, coor.y, coor.z
1,1000,L_medial_wall,255,255,255,0,left,,,
2,1001,L_Economo_Area_1,1,1,1,0,left,,,
3,1002,L_Economo_Area_2,2,2,2,0,left,,,
4,1003,L_Economo_Area_3,3,3,3,0,left,,,
5,1004,L_Economo_Area_4,4,4,4,0,left,,,
6,1005,L_Economo_Area_5,5,5,5,0,left,,,
7,1006,L_Economo_Area_6,6,6,6,0,left,,,
8,1007,L_Economo_Area_7,7,7,7,0,left,,,
9,1008,L_Economo_Area_8,8,8,8,0,left,,,
10,1009,L_Economo_Area_9,9,9,9,0,left,,,
11,1010,L_Economo_Area_10,10,10,10,0,left,,,
12,1011,L_Economo_Area_11,11,11,11,0,left,,,
13,1012,L_Economo_Area_12,12,12,12,0,left,,,
14,1013,L_Economo_Area_13,13,13,13,0,left,,,
15,1014,L_Economo_Area_14,14,14,14,0,left,,,
16,1015,L_Economo_Area_15,15,15,15,0,left,,,
17,1016,L_Economo_Area_16,16,16,16,0,left,,,
18,1017,L_Economo_Area_17,17,17,17,0,left,,,
19,1018,L_Economo_Area_18,18,18,18,0,left,,,
20,1019,L_Economo_Area_19,19,19,19,0,left,,,
21,1020,L_Economo_Area_20,20,20,20,0,left,,,
22,1021,L_Economo_Area_21,21,21,21,0,left,,,
23,1022,L_Economo_Area_22,22,22,22,0,left,,,
24,1023,L_Economo_Area_23,23,23,23,0,left,,,
25,1024,L_Economo_Area_24,24,24,24,0,left,,,
26,1025,L_Economo_Area_25,25,25,25,0,left,,,
27,1026,L_Economo_Area_26,26,26,26,0,left,,,
28,1027,L_Economo_Area_27,27,27,27,0,left,,,
29,1028,L_Economo_Area_28,28,28,28,0,left,,,
30,1029,L_Economo_Area_29,29,29,29,0,left,,,
31,1030,L_Economo_Area_30,30,30,30,0,left,,,
32,1031,L_Economo_Area_31,31,31,31,0,left,,,
33,1032,L_Economo_Area_32,32,32,32,0,left,,,
34,1033,L_Economo_Area_33,33,33,33,0,left,,,
35,1034,L_Economo_Area_34,34,34,34,0,left,,,
36,1035,L_Economo_Area_35,35,35,35,0,left,,,
37,1036,L_Economo_Area_36,36,36,36,0,left,,,
38,1037,L_Economo_Area_37,37,37,37,0,left,,,
39,1038,L_Economo_Area_38,38,38,38,0,left,,,
40,1039,L_Economo_Area_39,39,39,39,0,left,,,
41,1040,L_Economo_Area_40,40,40,40,0,left,,,
42,1041,L_Economo_Area_41,41,41,41,0,left,,,
43,1042,L_Economo_Area_42,42,42,42,0,left,,,
44,1043,L_Economo_Area_43,43,43,43,0,left,,,
45,2000,R_medial_wall,255,255,255,0,right,,,
46,2001,R_Economo_Area_1,0,1,1,0,right,,,
47,2002,R_Economo_Area_2,0,2,2,0,right,,,
48,2003,R_Economo_Area_3,0,3,3,0,right,,,
49,2004,R_Economo_Area_4,0,4,4,0,right,,,
50,2005,R_Economo_Area_5,0,5,5,0,right,,,
51,2006,R_Economo_Area_6,0,6,6,0,right,,,
52,2007,R_Economo_Area_7,0,7,7,0,right,,,
53,2008,R_Economo_Area_8,0,8,8,0,right,,,
54,2009,R_Economo_Area_9,0,9,9,0,right,,,
55,2010,R_Economo_Area_10,0,10,10,0,right,,,
56,2011,R_Economo_Area_11,0,11,11,0,right,,,
57,2012,R_Economo_Area_12,0,12,12,0,right,,,
58,2013,R_Economo_Area_13,0,13,13,0,right,,,
59,2014,R_Economo_Area_14,0,14,14,0,right,,,
60,2015,R_Economo_Area_15,0,15,15,0,right,,,
61,2016,R_Economo_Area_16,0,16,16,0,right,,,
62,2017,R_Economo_Area_17,0,17,17,0,right,,,
63,2018,R_Economo_Area_18,0,18,18,0,right,,,
64,2019,R_Economo_Area_19,0,19,19,0,right,,,
65,2020,R_Economo_Area_20,0,20,20,0,right,,,
66,2021,R_Economo_Area_21,0,21,21,0,right,,,
67,2022,R_Economo_Area_22,0,22,22,0,right,,,
68,2023,R_Economo_Area_23,0,23,23,0,right,,,
69,2024,R_Economo_Area_24,0,24,24,0,right,,,
70,2025,R_Economo_Area_25,0,25,25,0,right,,,
71,2026,R_Economo_Area_26,0,26,26,0,right,,,
72,2027,R_Economo_Area_27,0,27,27,0,right,,,
73,2028,R_Economo_Area_28,0,28,28,0,right,,,
74,2029,R_Economo_Area_29,0,29,29,0,right,,,
75,2030,R_Economo_Area_30,0,30,30,0,right,,,
76,2031,R_Economo_Area_31,0,31,31,0,right,,,
77,2032,R_Economo_Area_32,0,32,32,0,right,,,
78,2033,R_Economo_Area_33,0,33,33,0,right,,,
79,2034,R_Economo_Area_34,0,34,34,0,right,,,
80,2035,R_Economo_Area_35,0,35,35,0,right,,,
81,2036,R_Economo_Area_36,0,36,36,0,right,,,
82,2037,R_Economo_Area_37,0,37,37,0,right,,,
83,2038,R_Economo_Area_38,0,38,38,0,right,,,
84,2039,R_Economo_Area_39,0,39,39,0,right,,,
85,2040,R_Economo_Area_40,0,40,40,0,right,,,
86,2041,R_Economo_Area_41,0,41,41,0,right,,,
87,2042,R_Economo_Area_42,0,42,42,0,right,,,
88,2043,R_Economo_Area_43,0,43,43,0,right,,,
