roi,mics,label,R,G,B,A,side,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,,
2,1001,7Networks_LH_Vis_1,120,14,127,0,left,-35,-36,-24
3,1002,7Networks_LH_Vis_2,120,14,128,0,left,-34,-51,-19
4,1003,7Networks_LH_Vis_3,120,14,129,0,left,-25,-45,-14
5,1004,7Networks_LH_Vis_4,120,14,130,0,left,-28,-63,-13
6,1005,7Networks_LH_Vis_5,120,14,131,0,left,-31,-43,-9
7,1006,7Networks_LH_Vis_6,120,14,132,0,left,-34,-69,-16
8,1007,7Networks_LH_Vis_7,120,14,133,0,left,-45,-67,-18
9,1008,7Networks_LH_Vis_8,120,14,134,0,left,-24,-58,-9
10,1009,7Networks_LH_Vis_9,120,15,127,0,left,-36,-80,-15
11,1010,7Networks_LH_Vis_10,120,15,128,0,left,-26,-80,-13
12,1011,7Networks_LH_Vis_11,120,15,129,0,left,-21,-74,-9
13,1012,7Networks_LH_Vis_12,120,15,130,0,left,-45,-72,-11
14,1013,7Networks_LH_Vis_13,120,15,131,0,left,-21,-49,-6
15,1014,7Networks_LH_Vis_14,120,15,132,0,left,-20,-88,-16
16,1015,7Networks_LH_Vis_15,120,15,133,0,left,-42,-84,-14
17,1016,7Networks_LH_Vis_16,120,15,134,0,left,-14,-71,-10
18,1017,7Networks_LH_Vis_17,120,16,127,0,left,-13,-83,-14
19,1018,7Networks_LH_Vis_18,120,16,128,0,left,-31,-91,-18
20,1019,7Networks_LH_Vis_19,120,16,129,0,left,-15,-64,-5
21,1020,7Networks_LH_Vis_20,120,16,130,0,left,-16,-38,-11
22,1021,7Networks_LH_Vis_21,120,16,131,0,left,-46,-72,-3
23,1022,7Networks_LH_Vis_22,120,16,132,0,left,-13,-50,-7
24,1023,7Networks_LH_Vis_23,120,16,133,0,left,-6,-78,-7
25,1024,7Networks_LH_Vis_24,120,16,134,0,left,-34,-92,-9
26,1025,7Networks_LH_Vis_25,120,17,127,0,left,-10,-61,-3
27,1026,7Networks_LH_Vis_26,120,17,128,0,left,-6,-71,-2
28,1027,7Networks_LH_Vis_27,120,17,129,0,left,-4,-90,-12
29,1028,7Networks_LH_Vis_28,120,17,130,0,left,-21,-99,-12
30,1029,7Networks_LH_Vis_29,120,17,131,0,left,-45,-82,-1
31,1030,7Networks_LH_Vis_30,120,17,132,0,left,-10,-98,-12
32,1031,7Networks_LH_Vis_31,120,17,133,0,left,-14,-42,-4
33,1032,7Networks_LH_Vis_32,120,17,134,0,left,-7,-61,3
34,1033,7Networks_LH_Vis_33,120,18,127,0,left,-30,-96,-2
35,1034,7Networks_LH_Vis_34,120,18,128,0,left,-36,-89,1
36,1035,7Networks_LH_Vis_35,120,18,129,0,left,-4,-79,2
37,1036,7Networks_LH_Vis_36,120,18,130,0,left,-44,-71,7
38,1037,7Networks_LH_Vis_37,120,18,131,0,left,-5,-68,6
39,1038,7Networks_LH_Vis_38,120,18,132,0,left,-17,-55,1
40,1039,7Networks_LH_Vis_39,120,18,133,0,left,-9,-95,-2
41,1040,7Networks_LH_Vis_40,120,18,135,0,left,-6,-103,-1
42,1041,7Networks_LH_Vis_41,120,18,136,0,left,-11,-45,2
43,1042,7Networks_LH_Vis_42,120,18,137,0,left,-48,-78,9
44,1043,7Networks_LH_Vis_43,120,18,138,0,left,-6,-88,2
45,1044,7Networks_LH_Vis_44,120,18,139,0,left,-17,-102,2
46,1045,7Networks_LH_Vis_45,120,18,140,0,left,-43,-85,10
47,1046,7Networks_LH_Vis_46,120,18,141,0,left,-17,-68,4
48,1047,7Networks_LH_Vis_47,120,19,134,0,left,-12,-75,9
49,1048,7Networks_LH_Vis_48,120,19,135,0,left,-14,-51,4
50,1049,7Networks_LH_Vis_49,120,19,136,0,left,-25,-95,8
51,1050,7Networks_LH_Vis_50,120,19,137,0,left,-23,-58,5
52,1051,7Networks_LH_Vis_51,120,19,138,0,left,-7,-81,10
53,1052,7Networks_LH_Vis_52,120,19,139,0,left,-2,-94,5
54,1053,7Networks_LH_Vis_53,120,19,140,0,left,-32,-87,10
55,1054,7Networks_LH_Vis_54,120,19,141,0,left,-9,-100,11
56,1055,7Networks_LH_Vis_55,120,20,134,0,left,-16,-58,8
57,1056,7Networks_LH_Vis_56,120,20,135,0,left,-18,-65,9
58,1057,7Networks_LH_Vis_57,120,20,136,0,left,-8,-70,12
59,1058,7Networks_LH_Vis_58,120,20,137,0,left,-18,-98,17
60,1059,7Networks_LH_Vis_59,120,20,138,0,left,-49,-75,20
61,1060,7Networks_LH_Vis_60,120,20,139,0,left,-1,-80,12
62,1061,7Networks_LH_Vis_61,120,20,140,0,left,-41,-80,16
63,1062,7Networks_LH_Vis_62,120,20,141,0,left,-4,-92,16
64,1063,7Networks_LH_Vis_63,120,21,134,0,left,-19,-60,16
65,1064,7Networks_LH_Vis_64,120,21,135,0,left,-25,-91,20
66,1065,7Networks_LH_Vis_65,120,21,136,0,left,-34,-90,19
67,1066,7Networks_LH_Vis_66,120,21,137,0,left,-7,-69,17
68,1067,7Networks_LH_Vis_67,120,21,138,0,left,-2,-82,21
69,1068,7Networks_LH_Vis_68,120,21,139,0,left,-10,-95,25
70,1069,7Networks_LH_Vis_69,120,21,140,0,left,-16,-67,17
71,1070,7Networks_LH_Vis_70,120,21,141,0,left,-17,-90,23
72,1071,7Networks_LH_Vis_71,120,22,134,0,left,-4,-77,27
73,1072,7Networks_LH_Vis_72,120,22,135,0,left,-27,-81,19
74,1073,7Networks_LH_Vis_73,120,22,136,0,left,-5,-88,32
75,1074,7Networks_LH_Vis_74,120,22,137,0,left,-31,-85,26
76,1075,7Networks_LH_Vis_75,120,22,138,0,left,-14,-75,25
77,1076,7Networks_LH_Vis_76,120,22,139,0,left,-17,-89,34
78,1077,7Networks_LH_Vis_77,120,22,140,0,left,-24,-81,29
79,1078,7Networks_LH_Vis_78,120,22,141,0,left,-12,-81,35
80,1079,7Networks_LH_Vis_79,120,23,134,0,left,-14,-86,42
81,1080,7Networks_LH_Vis_80,120,23,135,0,left,-23,-82,42
82,1081,7Networks_LH_Vis_81,120,23,136,0,left,-12,-79,45
83,1082,7Networks_LH_SomMot_1,70,125,176,0,left,-50,6,-8
84,1083,7Networks_LH_SomMot_2,70,125,177,0,left,-56,-3,-1
85,1084,7Networks_LH_SomMot_3,70,125,178,0,left,-63,-12,3
86,1085,7Networks_LH_SomMot_4,70,125,179,0,left,-66,-19,6
87,1086,7Networks_LH_SomMot_5,70,125,180,0,left,-52,-14,6
88,1087,7Networks_LH_SomMot_6,70,126,173,0,left,-43,-19,3
89,1088,7Networks_LH_SomMot_7,70,126,174,0,left,-66,-30,6
90,1089,7Networks_LH_SomMot_8,70,126,175,0,left,-53,-20,6
91,1090,7Networks_LH_SomMot_9,70,126,176,0,left,-60,-26,10
92,1091,7Networks_LH_SomMot_10,70,126,177,0,left,-41,-24,11
93,1092,7Networks_LH_SomMot_11,70,126,178,0,left,-34,-24,10
94,1093,7Networks_LH_SomMot_12,70,126,179,0,left,-36,-14,14
