roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,14,134,0,-34,-40,-22
3,1002,7Networks_LH_Vis_2,120,15,127,0,-37,-55,-18
4,1003,7Networks_LH_Vis_3,120,15,128,0,-26,-45,-14
5,1004,7Networks_LH_Vis_4,120,15,129,0,-29,-36,-15
6,1005,7Networks_LH_Vis_5,120,15,130,0,-29,-63,-13
7,1006,7Networks_LH_Vis_6,120,15,131,0,-36,-71,-16
8,1007,7Networks_LH_Vis_7,120,15,132,0,-45,-70,-14
9,1008,7Networks_LH_Vis_8,120,15,133,0,-24,-58,-9
10,1009,7Networks_LH_Vis_9,120,15,134,0,-23,-75,-9
11,1010,7Networks_LH_Vis_10,120,16,127,0,-41,-79,-14
12,1011,7Networks_LH_Vis_11,120,16,128,0,-18,-36,-13
13,1012,7Networks_LH_Vis_12,120,16,129,0,-24,-86,-16
14,1013,7Networks_LH_Vis_13,120,16,130,0,-21,-49,-6
15,1014,7Networks_LH_Vis_14,120,16,131,0,-39,-87,-16
16,1015,7Networks_LH_Vis_15,120,16,132,0,-13,-83,-14
17,1016,7Networks_LH_Vis_16,120,16,133,0,-46,-72,-5
18,1017,7Networks_LH_Vis_17,120,16,134,0,-9,-76,-8
19,1018,7Networks_LH_Vis_18,120,17,127,0,-11,-64,-4
20,1019,7Networks_LH_Vis_19,120,17,128,0,-13,-51,-6
21,1020,7Networks_LH_Vis_20,120,17,129,0,-9,-96,-16
22,1021,7Networks_LH_Vis_21,120,17,130,0,-14,-40,-7
23,1022,7Networks_LH_Vis_22,120,17,131,0,-24,-97,-12
24,1023,7Networks_LH_Vis_23,120,17,132,0,-44,-85,-3
25,1024,7Networks_LH_Vis_24,120,17,133,0,-4,-88,-10
26,1025,7Networks_LH_Vis_25,120,17,134,0,-4,-73,0
27,1026,7Networks_LH_Vis_26,120,18,127,0,-7,-61,3
28,1027,7Networks_LH_Vis_27,120,18,128,0,-32,-93,-3
29,1028,7Networks_LH_Vis_28,120,18,129,0,-17,-51,-1
30,1029,7Networks_LH_Vis_29,120,18,130,0,-46,-75,6
31,1030,7Networks_LH_Vis_30,120,18,131,0,-7,-97,-4
32,1031,7Networks_LH_Vis_31,120,18,132,0,-11,-43,1
33,1032,7Networks_LH_Vis_32,120,18,133,0,-7,-70,6
34,1033,7Networks_LH_Vis_33,120,18,135,0,-39,-88,5
35,1034,7Networks_LH_Vis_34,120,18,136,0,-17,-60,2
36,1035,7Networks_LH_Vis_35,120,18,137,0,-7,-81,4
37,1036,7Networks_LH_Vis_36,120,18,138,0,-9,-103,1
38,1037,7Networks_LH_Vis_37,120,18,139,0,-20,-101,3
39,1038,7Networks_LH_Vis_38,120,18,140,0,-19,-54,5
40,1039,7Networks_LH_Vis_39,120,18,141,0,-6,-89,4
41,1040,7Networks_LH_Vis_40,120,19,134,0,-11,-47,4
42,1041,7Networks_LH_Vis_41,120,19,135,0,-18,-70,6
43,1042,7Networks_LH_Vis_42,120,19,136,0,-23,-61,5
44,1043,7Networks_LH_Vis_43,120,19,137,0,-27,-93,8
45,1044,7Networks_LH_Vis_44,120,19,138,0,-8,-74,11
46,1045,7Networks_LH_Vis_45,120,19,139,0,-18,-61,9
47,1046,7Networks_LH_Vis_46,120,19,140,0,-49,-71,18
48,1047,7Networks_LH_Vis_47,120,19,141,0,-2,-96,12
49,1048,7Networks_LH_Vis_48,120,20,134,0,-13,-99,14
50,1049,7Networks_LH_Vis_49,120,20,135,0,-40,-83,16
51,1050,7Networks_LH_Vis_50,120,20,136,0,-1,-80,13
52,1051,7Networks_LH_Vis_51,120,20,137,0,-16,-64,13
53,1052,7Networks_LH_Vis_52,120,20,138,0,-23,-92,20
54,1053,7Networks_LH_Vis_53,120,20,139,0,-7,-68,16
55,1054,7Networks_LH_Vis_54,120,20,140,0,-2,-83,21
56,1055,7Networks_LH_Vis_55,120,20,141,0,-7,-93,25
57,1056,7Networks_LH_Vis_56,120,21,134,0,-17,-63,22
58,1057,7Networks_LH_Vis_57,120,21,135,0,-15,-71,19
59,1058,7Networks_LH_Vis_58,120,21,136,0,-17,-90,26
60,1059,7Networks_LH_Vis_59,120,21,137,0,-27,-81,20
61,1060,7Networks_LH_Vis_60,120,21,138,0,-8,-76,26
62,1061,7Networks_LH_Vis_61,120,21,139,0,-32,-84,26
63,1062,7Networks_LH_Vis_62,120,21,140,0,-5,-87,33
64,1063,7Networks_LH_Vis_63,120,21,141,0,-16,-88,37
65,1064,7Networks_LH_Vis_64,120,22,134,0,-24,-82,31
66,1065,7Networks_LH_Vis_65,120,22,135,0,-12,-81,37
67,1066,7Networks_LH_Vis_66,120,22,136,0,-23,-81,42
68,1067,7Networks_LH_Vis_67,120,22,137,0,-17,-82,47
69,1068,7Networks_LH_SomMot_1,70,126,176,0,-53,-1,-3
70,1069,7Networks_LH_SomMot_2,70,126,177,0,-56,-17,6
71,1070,7Networks_LH_SomMot_3,70,126,178,0,-43,-19,3
72,1071,7Networks_LH_SomMot_4,70,126,179,0,-61,-26,10
73,1072,7Networks_LH_SomMot_5,70,126,180,0,-36,-12,13
74,1073,7Networks_LH_SomMot_6,70,127,173,0,-35,-24,11
75,1074,7Networks_LH_SomMot_7,70,127,174,0,-62,-39,9
76,1075,7Networks_LH_SomMot_8,70,127,175,0,-43,-29,9
77,1076,7Networks_LH_SomMot_9,70,127,176,0,-36,-14,18
78,1077,7Networks_LH_SomMot_10,70,127,177,0,-49,-33,11
79,1078,7Networks_LH_SomMot_11,70,127,178,0,-43,-14,16
80,1079,7Networks_LH_SomMot_12,70,127,179,0,-36,-27,19
81,1080,7Networks_LH_SomMot_13,70,127,180,0,-59,-37,16
82,1081,7Networks_LH_SomMot_14,70,128,173,0,-51,-12,13
83,1082,7Networks_LH_SomMot_15,70,128,174,0,-41,-36,17
84,1083,7Networks_LH_SomMot_16,70,128,175,0,-59,-3,11
85,1084,7Networks_LH_SomMot_17,70,128,176,0,-45,-22,19
86,1085,7Networks_LH_SomMot_18,70,128,177,0,-60,-17,19
87,1086,7Networks_LH_SomMot_19,70,128,178,0,-51,-27,17
88,1087,7Networks_LH_SomMot_20,70,128,179,0,-60,-2,19
